Symbol,Date,Open,High,Low,Close
SPGSCITR:IND,10-11-2020,1791.842,1791.842,1791.842,1791.842
SPGSCITR:IND,09-11-2020,1757.996,1757.996,1757.996,1757.996
SPGSCITR:IND,06-11-2020,1704.654,1704.654,1704.654,1704.654
SPGSCITR:IND,05-11-2020,1734.126,1734.126,1734.126,1734.126
SPGSCITR:IND,04-11-2020,1733.583,1733.583,1733.583,1733.583
SPGSCITR:IND,03-11-2020,1702.692,1702.692,1702.692,1702.692
SPGSCITR:IND,02-11-2020,1685.698,1685.698,1685.698,1685.698
SPGSCITR:IND,30-10-2020,1665.082,1665.082,1665.082,1665.082
SPGSCITR:IND,29-10-2020,1666.958,1666.958,1666.958,1666.958
SPGSCITR:IND,28-10-2020,1693.31,1693.31,1693.31,1693.31
SPGSCITR:IND,27-10-2020,1745.585,1745.585,1745.585,1745.585
SPGSCITR:IND,26-10-2020,1725.442,1725.442,1725.442,1725.442
SPGSCITR:IND,23-10-2020,1752.94,1752.94,1752.94,1752.94
SPGSCITR:IND,22-10-2020,1766.204,1766.204,1766.204,1766.204
SPGSCITR:IND,21-10-2020,1759.465,1759.465,1759.465,1759.465
SPGSCITR:IND,20-10-2020,1782.328,1782.328,1782.328,1782.328
SPGSCITR:IND,19-10-2020,1769.38,1769.38,1769.38,1769.38
SPGSCITR:IND,16-10-2020,1771.655,1771.655,1771.655,1771.655
SPGSCITR:IND,15-10-2020,1774.642,1774.642,1774.642,1774.642
SPGSCITR:IND,14-10-2020,1769.682,1769.682,1769.682,1769.682
SPGSCITR:IND,13-10-2020,1751.137,1751.137,1751.137,1751.137
SPGSCITR:IND,12-10-2020,1741.288,1741.288,1741.288,1741.288
SPGSCITR:IND,09-10-2020,1767.723,1767.723,1767.723,1767.723
SPGSCITR:IND,08-10-2020,1763.643,1763.643,1763.643,1763.643
SPGSCITR:IND,07-10-2020,1739.479,1739.479,1739.479,1739.479
SPGSCITR:IND,06-10-2020,1744.396,1744.396,1744.396,1744.396
SPGSCITR:IND,05-10-2020,1713.021,1713.021,1713.021,1713.021
SPGSCITR:IND,02-10-2020,1664.184,1664.184,1664.184,1664.184
SPGSCITR:IND,01-10-2020,1693.712,1693.712,1693.712,1693.712
SPGSCITR:IND,30-09-2020,1726.81,1726.81,1726.81,1726.81
SPGSCITR:IND,29-09-2020,1700.685,1700.685,1700.685,1700.685
SPGSCITR:IND,28-09-2020,1728.707,1728.707,1728.707,1728.707
SPGSCITR:IND,25-09-2020,1717.179,1717.179,1717.179,1717.179
SPGSCITR:IND,24-09-2020,1718.337,1718.337,1718.337,1718.337
SPGSCITR:IND,23-09-2020,1714.707,1714.707,1714.707,1714.707
SPGSCITR:IND,22-09-2020,1715.838,1715.838,1715.838,1715.838
SPGSCITR:IND,21-09-2020,1712.884,1712.884,1712.884,1712.884
SPGSCITR:IND,18-09-2020,1765.478,1765.478,1765.478,1765.478
SPGSCITR:IND,17-09-2020,1756.596,1756.596,1756.596,1756.596
SPGSCITR:IND,16-09-2020,1735.68,1735.68,1735.68,1735.68
SPGSCITR:IND,15-09-2020,1701.903,1701.903,1701.903,1701.903
SPGSCITR:IND,14-09-2020,1688.833,1688.833,1688.833,1688.833
SPGSCITR:IND,11-09-2020,1686.429,1686.429,1686.429,1686.429
SPGSCITR:IND,10-09-2020,1684.862,1684.862,1684.862,1684.862
SPGSCITR:IND,09-09-2020,1696.326,1696.326,1696.326,1696.326
SPGSCITR:IND,08-09-2020,1673.753,1673.753,1673.753,1673.753
SPGSCITR:IND,07-09-2020,1736.5,1736.5,1736.5,1736.5
SPGSCITR:IND,04-09-2020,1736.5,1736.5,1736.5,1736.5
SPGSCITR:IND,03-09-2020,1755.255,1755.255,1755.255,1755.255
SPGSCITR:IND,02-09-2020,1769.577,1769.577,1769.577,1769.577
SPGSCITR:IND,01-09-2020,1799.764,1799.764,1799.764,1799.764
SPGSCITR:IND,31-08-2020,1792.028,1792.028,1792.028,1792.028
SPGSCITR:IND,28-08-2020,1800.706,1800.706,1800.706,1800.706
SPGSCITR:IND,27-08-2020,1795.103,1795.103,1795.103,1795.103
SPGSCITR:IND,26-08-2020,1800.325,1800.325,1800.325,1800.325
SPGSCITR:IND,25-08-2020,1801.147,1801.147,1801.147,1801.147
SPGSCITR:IND,24-08-2020,1781.825,1781.825,1781.825,1781.825
SPGSCITR:IND,21-08-2020,1767.734,1767.734,1767.734,1767.734
SPGSCITR:IND,20-08-2020,1782.472,1782.472,1782.472,1782.472
SPGSCITR:IND,19-08-2020,1793.583,1793.583,1793.583,1793.583
SPGSCITR:IND,18-08-2020,1792.043,1792.043,1792.043,1792.043
SPGSCITR:IND,17-08-2020,1786.962,1786.962,1786.962,1786.962
SPGSCITR:IND,14-08-2020,1761.726,1761.726,1761.726,1761.726
SPGSCITR:IND,13-08-2020,1761.114,1761.114,1761.114,1761.114
SPGSCITR:IND,12-08-2020,1762.904,1762.904,1762.904,1762.904
SPGSCITR:IND,11-08-2020,1742.002,1742.002,1742.002,1742.002
SPGSCITR:IND,10-08-2020,1753.294,1753.294,1753.294,1753.294
SPGSCITR:IND,07-08-2020,1737.705,1737.705,1737.705,1737.705
SPGSCITR:IND,06-08-2020,1761.182,1761.182,1761.182,1761.182
SPGSCITR:IND,05-08-2020,1766.333,1766.333,1766.333,1766.333
SPGSCITR:IND,04-08-2020,1747.998,1747.998,1747.998,1747.998
SPGSCITR:IND,03-08-2020,1738.12,1738.12,1738.12,1738.12
SPGSCITR:IND,31-07-2020,1713.464,1713.464,1713.464,1713.464
SPGSCITR:IND,30-07-2020,1703.085,1703.085,1703.085,1703.085
SPGSCITR:IND,29-07-2020,1731.383,1731.383,1731.383,1731.383
SPGSCITR:IND,28-07-2020,1721.218,1721.218,1721.218,1721.218
SPGSCITR:IND,27-07-2020,1727.245,1727.245,1727.245,1727.245
SPGSCITR:IND,24-07-2020,1724.447,1724.447,1724.447,1724.447
SPGSCITR:IND,23-07-2020,1722.692,1722.692,1722.692,1722.692
SPGSCITR:IND,22-07-2020,1732.834,1732.834,1732.834,1732.834
SPGSCITR:IND,21-07-2020,1730.457,1730.457,1730.457,1730.457
SPGSCITR:IND,20-07-2020,1700.685,1700.685,1700.685,1700.685
SPGSCITR:IND,17-07-2020,1701.475,1701.475,1701.475,1701.475
SPGSCITR:IND,16-07-2020,1705.729,1705.729,1705.729,1705.729
SPGSCITR:IND,15-07-2020,1714.04,1714.04,1714.04,1714.04
SPGSCITR:IND,14-07-2020,1692.841,1692.841,1692.841,1692.841
SPGSCITR:IND,13-07-2020,1697.36,1697.36,1697.36,1697.36
SPGSCITR:IND,10-07-2020,1707.727,1707.727,1707.727,1707.727
SPGSCITR:IND,09-07-2020,1689.329,1689.329,1689.329,1689.329
SPGSCITR:IND,08-07-2020,1708.508,1708.508,1708.508,1708.508
SPGSCITR:IND,07-07-2020,1700.014,1700.014,1700.014,1700.014
SPGSCITR:IND,06-07-2020,1695.444,1695.444,1695.444,1695.444
SPGSCITR:IND,03-07-2020,1688.218,1688.218,1688.218,1688.218
SPGSCITR:IND,02-07-2020,1688.218,1688.218,1688.218,1688.218
SPGSCITR:IND,01-07-2020,1667.291,1667.291,1667.291,1667.291
SPGSCITR:IND,30-06-2020,1650.79,1650.79,1650.79,1650.79
SPGSCITR:IND,29-06-2020,1645.871,1645.871,1645.871,1645.871
SPGSCITR:IND,26-06-2020,1613.277,1613.277,1613.277,1613.277
SPGSCITR:IND,25-06-2020,1624.058,1624.058,1624.058,1624.058
SPGSCITR:IND,24-06-2020,1617.994,1617.994,1617.994,1617.994
SPGSCITR:IND,23-06-2020,1672.497,1672.497,1672.497,1672.497
SPGSCITR:IND,22-06-2020,1676.858,1676.858,1676.858,1676.858
SPGSCITR:IND,19-06-2020,1661.654,1661.654,1661.654,1661.654
SPGSCITR:IND,18-06-2020,1645.201,1645.201,1645.201,1645.201
SPGSCITR:IND,17-06-2020,1631.167,1631.167,1631.167,1631.167
SPGSCITR:IND,16-06-2020,1634.6,1634.6,1634.6,1634.6
SPGSCITR:IND,15-06-2020,1608.664,1608.664,1608.664,1608.664
SPGSCITR:IND,12-06-2020,1593.828,1593.828,1593.828,1593.828
SPGSCITR:IND,11-06-2020,1596.435,1596.435,1596.435,1596.435
SPGSCITR:IND,10-06-2020,1663.522,1663.522,1663.522,1663.522
SPGSCITR:IND,09-06-2020,1650.869,1650.869,1650.869,1650.869
SPGSCITR:IND,08-06-2020,1639.79,1639.79,1639.79,1639.79
SPGSCITR:IND,05-06-2020,1662.644,1662.644,1662.644,1662.644
SPGSCITR:IND,04-06-2020,1616.529,1616.529,1616.529,1616.529
SPGSCITR:IND,03-06-2020,1605.801,1605.801,1605.801,1605.801
SPGSCITR:IND,02-06-2020,1599.458,1599.458,1599.458,1599.458
SPGSCITR:IND,01-06-2020,1572.22,1572.22,1572.22,1572.22
SPGSCITR:IND,29-05-2020,1570.824,1570.824,1570.824,1570.824
SPGSCITR:IND,28-05-2020,1532.135,1532.135,1532.135,1532.135
SPGSCITR:IND,27-05-2020,1520.788,1520.788,1520.788,1520.788
SPGSCITR:IND,26-05-2020,1552.487,1552.487,1552.487,1552.487
SPGSCITR:IND,25-05-2020,1523.963,1523.963,1523.963,1523.963
SPGSCITR:IND,22-05-2020,1523.963,1523.963,1523.963,1523.963
SPGSCITR:IND,21-05-2020,1542.36,1542.36,1542.36,1542.36
SPGSCITR:IND,20-05-2020,1542.373,1542.373,1542.373,1542.373
SPGSCITR:IND,19-05-2020,1516.604,1516.604,1516.604,1516.604
SPGSCITR:IND,18-05-2020,1515.973,1515.973,1515.973,1515.973
SPGSCITR:IND,15-05-2020,1458.605,1458.605,1458.605,1458.605
SPGSCITR:IND,14-05-2020,1431.949,1431.949,1431.949,1431.949
SPGSCITR:IND,13-05-2020,1395.901,1395.901,1395.901,1395.901
SPGSCITR:IND,12-05-2020,1424.311,1424.311,1424.311,1424.311
SPGSCITR:IND,11-05-2020,1416.018,1416.018,1416.018,1416.018
SPGSCITR:IND,08-05-2020,1444.227,1444.227,1444.227,1444.227
SPGSCITR:IND,07-05-2020,1418.034,1418.034,1418.034,1418.034
SPGSCITR:IND,06-05-2020,1411.355,1411.355,1411.355,1411.355
SPGSCITR:IND,05-05-2020,1439.796,1439.796,1439.796,1439.796
SPGSCITR:IND,04-05-2020,1360.576,1360.576,1360.576,1360.576
SPGSCITR:IND,01-05-2020,1346.903,1346.903,1346.903,1346.903
SPGSCITR:IND,30-04-2020,1349.817,1349.817,1349.817,1349.817
