Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Exports,1950-01-31T00:00:00,795,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-02-28T00:00:00,792,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-03-31T00:00:00,772,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-04-30T00:00:00,786,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-05-31T00:00:00,772,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-06-30T00:00:00,831,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-07-31T00:00:00,821,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-08-31T00:00:00,813,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-09-30T00:00:00,889,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-10-31T00:00:00,893,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-11-30T00:00:00,940,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-12-31T00:00:00,915,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-01-31T00:00:00,970,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-02-28T00:00:00,1022,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-03-31T00:00:00,1080,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-04-30T00:00:00,1256,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-05-31T00:00:00,1133,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-06-30T00:00:00,1132,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-07-31T00:00:00,1234,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-08-31T00:00:00,1233,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-09-30T00:00:00,1233,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-10-31T00:00:00,1101,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-11-30T00:00:00,1273,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-12-31T00:00:00,1309,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-01-31T00:00:00,1250,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-02-29T00:00:00,1236,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-03-31T00:00:00,1281,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-04-30T00:00:00,1138,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-05-31T00:00:00,1129,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-06-30T00:00:00,1063,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-07-31T00:00:00,970,Monthly,TBEXTOT,2016-03-04T14:46:00
