Symbol,Date,Open,High,Low,Close,
SPGSCITR:IND,2020-11-10,1791.842,1791.842,1791.842,1791.842,#VALUE!
SPGSCITR:IND,2020-11-09,1757.996,1757.996,1757.996,1757.996,
SPGSCITR:IND,2020-11-06,1704.654,1704.654,1704.654,1704.654,
SPGSCITR:IND,2020-11-05,1734.126,1734.126,1734.126,1734.126,
SPGSCITR:IND,2020-11-04,1733.583,1733.583,1733.583,1733.583,
SPGSCITR:IND,2020-11-03,1702.692,1702.692,1702.692,1702.692,
SPGSCITR:IND,2020-11-02,1685.698,1685.698,1685.698,1685.698,
SPGSCITR:IND,2020-10-30,1665.082,1665.082,1665.082,1665.082,
SPGSCITR:IND,2020-10-29,1666.958,1666.958,1666.958,1666.958,
SPGSCITR:IND,2020-10-28,1693.31,1693.31,1693.31,1693.31,
SPGSCITR:IND,2020-10-27,1745.585,1745.585,1745.585,1745.585,
SPGSCITR:IND,2020-10-26,1725.442,1725.442,1725.442,1725.442,
SPGSCITR:IND,2020-10-23,1752.94,1752.94,1752.94,1752.94,
SPGSCITR:IND,2020-10-22,1766.204,1766.204,1766.204,1766.204,
SPGSCITR:IND,2020-10-21,1759.465,1759.465,1759.465,1759.465,
SPGSCITR:IND,2020-10-20,1782.328,1782.328,1782.328,1782.328,
SPGSCITR:IND,2020-10-19,1769.38,1769.38,1769.38,1769.38,
SPGSCITR:IND,2020-10-16,1771.655,1771.655,1771.655,1771.655,
SPGSCITR:IND,2020-10-15,1774.642,1774.642,1774.642,1774.642,
SPGSCITR:IND,2020-10-14,1769.682,1769.682,1769.682,1769.682,
SPGSCITR:IND,2020-10-13,1751.137,1751.137,1751.137,1751.137,
SPGSCITR:IND,2020-10-12,1741.288,1741.288,1741.288,1741.288,
SPGSCITR:IND,2020-10-09,1767.723,1767.723,1767.723,1767.723,
SPGSCITR:IND,2020-10-08,1763.643,1763.643,1763.643,1763.643,
SPGSCITR:IND,2020-10-07,1739.479,1739.479,1739.479,1739.479,
SPGSCITR:IND,2020-10-06,1744.396,1744.396,1744.396,1744.396,
SPGSCITR:IND,2020-10-05,1713.021,1713.021,1713.021,1713.021,
SPGSCITR:IND,2020-10-02,1664.184,1664.184,1664.184,1664.184,
SPGSCITR:IND,2020-10-01,1693.712,1693.712,1693.712,1693.712,
SPGSCITR:IND,2020-09-30,1726.81,1726.81,1726.81,1726.81,
SPGSCITR:IND,2020-09-29,1700.685,1700.685,1700.685,1700.685,
SPGSCITR:IND,2020-09-28,1728.707,1728.707,1728.707,1728.707,
SPGSCITR:IND,2020-09-25,1717.179,1717.179,1717.179,1717.179,
SPGSCITR:IND,2020-09-24,1718.337,1718.337,1718.337,1718.337,
SPGSCITR:IND,2020-09-23,1714.707,1714.707,1714.707,1714.707,
SPGSCITR:IND,2020-09-22,1715.838,1715.838,1715.838,1715.838,
SPGSCITR:IND,2020-09-21,1712.884,1712.884,1712.884,1712.884,
SPGSCITR:IND,2020-09-18,1765.478,1765.478,1765.478,1765.478,
SPGSCITR:IND,2020-09-17,1756.596,1756.596,1756.596,1756.596,
SPGSCITR:IND,2020-09-16,1735.68,1735.68,1735.68,1735.68,
SPGSCITR:IND,2020-09-15,1701.903,1701.903,1701.903,1701.903,
SPGSCITR:IND,2020-09-14,1688.833,1688.833,1688.833,1688.833,
SPGSCITR:IND,2020-09-11,1686.429,1686.429,1686.429,1686.429,
SPGSCITR:IND,2020-09-10,1684.862,1684.862,1684.862,1684.862,
SPGSCITR:IND,2020-09-09,1696.326,1696.326,1696.326,1696.326,
SPGSCITR:IND,2020-09-08,1673.753,1673.753,1673.753,1673.753,
SPGSCITR:IND,2020-09-07,1736.5,1736.5,1736.5,1736.5,
SPGSCITR:IND,2020-09-04,1736.5,1736.5,1736.5,1736.5,
SPGSCITR:IND,2020-09-03,1755.255,1755.255,1755.255,1755.255,
SPGSCITR:IND,2020-09-02,1769.577,1769.577,1769.577,1769.577,
SPGSCITR:IND,2020-09-01,1799.764,1799.764,1799.764,1799.764,
SPGSCITR:IND,2020-08-31,1792.028,1792.028,1792.028,1792.028,
SPGSCITR:IND,2020-08-28,1800.706,1800.706,1800.706,1800.706,
SPGSCITR:IND,2020-08-27,1795.103,1795.103,1795.103,1795.103,
SPGSCITR:IND,2020-08-26,1800.325,1800.325,1800.325,1800.325,
SPGSCITR:IND,2020-08-25,1801.147,1801.147,1801.147,1801.147,
SPGSCITR:IND,2020-08-24,1781.825,1781.825,1781.825,1781.825,
SPGSCITR:IND,2020-08-21,1767.734,1767.734,1767.734,1767.734,
SPGSCITR:IND,2020-08-20,1782.472,1782.472,1782.472,1782.472,
SPGSCITR:IND,2020-08-19,1793.583,1793.583,1793.583,1793.583,
SPGSCITR:IND,2020-08-18,1792.043,1792.043,1792.043,1792.043,
SPGSCITR:IND,2020-08-17,1786.962,1786.962,1786.962,1786.962,
SPGSCITR:IND,2020-08-14,1761.726,1761.726,1761.726,1761.726,
SPGSCITR:IND,2020-08-13,1761.114,1761.114,1761.114,1761.114,
SPGSCITR:IND,2020-08-12,1762.904,1762.904,1762.904,1762.904,
SPGSCITR:IND,2020-08-11,1742.002,1742.002,1742.002,1742.002,
SPGSCITR:IND,2020-08-10,1753.294,1753.294,1753.294,1753.294,
SPGSCITR:IND,2020-08-07,1737.705,1737.705,1737.705,1737.705,
SPGSCITR:IND,2020-08-06,1761.182,1761.182,1761.182,1761.182,
SPGSCITR:IND,2020-08-05,1766.333,1766.333,1766.333,1766.333,
SPGSCITR:IND,2020-08-04,1747.998,1747.998,1747.998,1747.998,
SPGSCITR:IND,2020-08-03,1738.12,1738.12,1738.12,1738.12,
SPGSCITR:IND,2020-07-31,1713.464,1713.464,1713.464,1713.464,
SPGSCITR:IND,2020-07-30,1703.085,1703.085,1703.085,1703.085,
SPGSCITR:IND,2020-07-29,1731.383,1731.383,1731.383,1731.383,
SPGSCITR:IND,2020-07-28,1721.218,1721.218,1721.218,1721.218,
SPGSCITR:IND,2020-07-27,1727.245,1727.245,1727.245,1727.245,
SPGSCITR:IND,2020-07-24,1724.447,1724.447,1724.447,1724.447,
SPGSCITR:IND,2020-07-23,1722.692,1722.692,1722.692,1722.692,
SPGSCITR:IND,2020-07-22,1732.834,1732.834,1732.834,1732.834,
SPGSCITR:IND,2020-07-21,1730.457,1730.457,1730.457,1730.457,
SPGSCITR:IND,2020-07-20,1700.685,1700.685,1700.685,1700.685,
SPGSCITR:IND,2020-07-17,1701.475,1701.475,1701.475,1701.475,
SPGSCITR:IND,2020-07-16,1705.729,1705.729,1705.729,1705.729,
SPGSCITR:IND,2020-07-15,1714.04,1714.04,1714.04,1714.04,
SPGSCITR:IND,2020-07-14,1692.841,1692.841,1692.841,1692.841,
SPGSCITR:IND,2020-07-13,1697.36,1697.36,1697.36,1697.36,
SPGSCITR:IND,2020-07-10,1707.727,1707.727,1707.727,1707.727,
SPGSCITR:IND,2020-07-09,1689.329,1689.329,1689.329,1689.329,
SPGSCITR:IND,2020-07-08,1708.508,1708.508,1708.508,1708.508,
SPGSCITR:IND,2020-07-07,1700.014,1700.014,1700.014,1700.014,
SPGSCITR:IND,2020-07-06,1695.444,1695.444,1695.444,1695.444,
SPGSCITR:IND,2020-07-03,1688.218,1688.218,1688.218,1688.218,
SPGSCITR:IND,2020-07-02,1688.218,1688.218,1688.218,1688.218,
SPGSCITR:IND,2020-07-01,1667.291,1667.291,1667.291,1667.291,
SPGSCITR:IND,2020-06-30,1650.79,1650.79,1650.79,1650.79,
SPGSCITR:IND,2020-06-29,1645.871,1645.871,1645.871,1645.871,
SPGSCITR:IND,2020-06-26,1613.277,1613.277,1613.277,1613.277,
SPGSCITR:IND,2020-06-25,1624.058,1624.058,1624.058,1624.058,
SPGSCITR:IND,2020-06-24,1617.994,1617.994,1617.994,1617.994,
SPGSCITR:IND,2020-06-23,1672.497,1672.497,1672.497,1672.497,
SPGSCITR:IND,2020-06-22,1676.858,1676.858,1676.858,1676.858,
SPGSCITR:IND,2020-06-19,1661.654,1661.654,1661.654,1661.654,
SPGSCITR:IND,2020-06-18,1645.201,1645.201,1645.201,1645.201,
SPGSCITR:IND,2020-06-17,1631.167,1631.167,1631.167,1631.167,
SPGSCITR:IND,2020-06-16,1634.6,1634.6,1634.6,1634.6,
SPGSCITR:IND,2020-06-15,1608.664,1608.664,1608.664,1608.664,
SPGSCITR:IND,2020-06-12,1593.828,1593.828,1593.828,1593.828,
SPGSCITR:IND,2020-06-11,1596.435,1596.435,1596.435,1596.435,
SPGSCITR:IND,2020-06-10,1663.522,1663.522,1663.522,1663.522,
SPGSCITR:IND,2020-06-09,1650.869,1650.869,1650.869,1650.869,
SPGSCITR:IND,2020-06-08,1639.79,1639.79,1639.79,1639.79,
SPGSCITR:IND,2020-06-05,1662.644,1662.644,1662.644,1662.644,
SPGSCITR:IND,2020-06-04,1616.529,1616.529,1616.529,1616.529,
SPGSCITR:IND,2020-06-03,1605.801,1605.801,1605.801,1605.801,
SPGSCITR:IND,2020-06-02,1599.458,1599.458,1599.458,1599.458,
SPGSCITR:IND,2020-06-01,1572.22,1572.22,1572.22,1572.22,
SPGSCITR:IND,2020-05-29,1570.824,1570.824,1570.824,1570.824,
SPGSCITR:IND,2020-05-28,1532.135,1532.135,1532.135,1532.135,
SPGSCITR:IND,2020-05-27,1520.788,1520.788,1520.788,1520.788,
SPGSCITR:IND,2020-05-26,1552.487,1552.487,1552.487,1552.487,
SPGSCITR:IND,2020-05-25,1523.963,1523.963,1523.963,1523.963,
SPGSCITR:IND,2020-05-22,1523.963,1523.963,1523.963,1523.963,
SPGSCITR:IND,2020-05-21,1542.36,1542.36,1542.36,1542.36,
SPGSCITR:IND,2020-05-20,1542.373,1542.373,1542.373,1542.373,
SPGSCITR:IND,2020-05-19,1516.604,1516.604,1516.604,1516.604,
SPGSCITR:IND,2020-05-18,1515.973,1515.973,1515.973,1515.973,
SPGSCITR:IND,2020-05-15,1458.605,1458.605,1458.605,1458.605,
SPGSCITR:IND,2020-05-14,1431.949,1431.949,1431.949,1431.949,
SPGSCITR:IND,2020-05-13,1395.901,1395.901,1395.901,1395.901,
SPGSCITR:IND,2020-05-12,1424.311,1424.311,1424.311,1424.311,
SPGSCITR:IND,2020-05-11,1416.018,1416.018,1416.018,1416.018,
SPGSCITR:IND,2020-05-08,1444.227,1444.227,1444.227,1444.227,
SPGSCITR:IND,2020-05-07,1418.034,1418.034,1418.034,1418.034,
SPGSCITR:IND,2020-05-06,1411.355,1411.355,1411.355,1411.355,
SPGSCITR:IND,2020-05-05,1439.796,1439.796,1439.796,1439.796,
SPGSCITR:IND,2020-05-04,1360.576,1360.576,1360.576,1360.576,
SPGSCITR:IND,2020-05-01,1346.903,1346.903,1346.903,1346.903,
SPGSCITR:IND,2020-04-30,1349.817,1349.817,1349.817,1349.817,
SPGSCITR:IND,2020-04-29,1291.968,1291.968,1291.968,1291.968,
SPGSCITR:IND,2020-04-28,1260.149,1260.149,1260.149,1260.149,
SPGSCITR:IND,2020-04-27,1261.379,1261.379,1261.379,1261.379,
SPGSCITR:IND,2020-04-24,1321.524,1321.524,1321.524,1321.524,
SPGSCITR:IND,2020-04-23,1331.945,1331.945,1331.945,1331.945,
SPGSCITR:IND,2020-04-22,1296.096,1296.096,1296.096,1296.096,
SPGSCITR:IND,2020-04-21,1249.251,1249.251,1249.251,1249.251,
SPGSCITR:IND,2020-04-20,1415.904,1415.904,1415.904,1415.904,
SPGSCITR:IND,2020-04-17,1480.896,1480.896,1480.896,1480.896,
SPGSCITR:IND,2020-04-16,1481.347,1481.347,1481.347,1481.347,
SPGSCITR:IND,2020-04-15,1482.936,1482.936,1482.936,1482.936,
SPGSCITR:IND,2020-04-14,1524.482,1524.482,1524.482,1524.482,
SPGSCITR:IND,2020-04-13,1558.766,1558.766,1558.766,1558.766,
SPGSCITR:IND,2020-04-10,1559.826,1559.826,1559.826,1559.826,
SPGSCITR:IND,2020-04-09,1559.826,1559.826,1559.826,1559.826,
SPGSCITR:IND,2020-04-08,1584.114,1584.114,1584.114,1584.114,
SPGSCITR:IND,2020-04-07,1564.506,1564.506,1564.506,1564.506,
SPGSCITR:IND,2020-04-06,1588.877,1588.877,1588.877,1588.877,
SPGSCITR:IND,2020-04-03,1610.742,1610.742,1610.742,1610.742,
SPGSCITR:IND,2020-04-02,1543.51,1543.51,1543.51,1543.51,
SPGSCITR:IND,2020-04-01,1445.109,1445.109,1445.109,1445.109,
SPGSCITR:IND,2020-03-31,1494.343,1494.343,1494.343,1494.343,
SPGSCITR:IND,2020-03-30,1489.074,1489.074,1489.074,1489.074,
SPGSCITR:IND,2020-03-27,1529.411,1529.411,1529.411,1529.411,
SPGSCITR:IND,2020-03-26,1556.482,1556.482,1556.482,1556.482,
SPGSCITR:IND,2020-03-25,1598.658,1598.658,1598.658,1598.658,
SPGSCITR:IND,2020-03-24,1582.281,1582.281,1582.281,1582.281,
SPGSCITR:IND,2020-03-23,1541.623,1541.623,1541.623,1541.623,
SPGSCITR:IND,2020-03-20,1529.648,1529.648,1529.648,1529.648,
SPGSCITR:IND,2020-03-19,1576.104,1576.104,1576.104,1576.104,
SPGSCITR:IND,2020-03-18,1467.824,1467.824,1467.824,1467.824,
SPGSCITR:IND,2020-03-17,1601.745,1601.745,1601.745,1601.745,
SPGSCITR:IND,2020-03-16,1631.746,1631.746,1631.746,1631.746,
SPGSCITR:IND,2020-03-13,1745.172,1745.172,1745.172,1745.172,
SPGSCITR:IND,2020-03-12,1757.28,1757.28,1757.28,1757.28,
SPGSCITR:IND,2020-03-11,1837.357,1837.357,1837.357,1837.357,
SPGSCITR:IND,2020-03-10,1875.093,1875.093,1875.093,1875.093,
SPGSCITR:IND,2020-03-09,1798.569,1798.569,1798.569,1798.569,
SPGSCITR:IND,2020-03-06,2036.994,2036.994,2036.994,2036.994,
SPGSCITR:IND,2020-03-05,2158.223,2158.223,2158.223,2158.223,
SPGSCITR:IND,2020-03-04,2186.718,2186.718,2186.718,2186.718,
SPGSCITR:IND,2020-03-03,2192.246,2192.246,2192.246,2192.246,
SPGSCITR:IND,2020-03-02,2178.983,2178.983,2178.983,2178.983,
SPGSCITR:IND,2020-02-28,2117.394,2117.394,2117.394,2117.394,
SPGSCITR:IND,2020-02-27,2173.155,2173.155,2173.155,2173.155,
SPGSCITR:IND,2020-02-26,2222.104,2222.104,2222.104,2222.104,
SPGSCITR:IND,2020-02-25,2261.087,2261.087,2261.087,2261.087,
SPGSCITR:IND,2020-02-24,2299.064,2299.064,2299.064,2299.064,
SPGSCITR:IND,2020-02-21,2365.325,2365.325,2365.325,2365.325,
SPGSCITR:IND,2020-02-20,2381.101,2381.101,2381.101,2381.101,
SPGSCITR:IND,2020-02-19,2383.445,2383.445,2383.445,2383.445,
SPGSCITR:IND,2020-02-18,2352.034,2352.034,2352.034,2352.034,
SPGSCITR:IND,2020-02-17,2339.174,2339.174,2339.174,2339.174,
SPGSCITR:IND,2020-02-14,2339.174,2339.174,2339.174,2339.174,
SPGSCITR:IND,2020-02-13,2325.995,2325.995,2325.995,2325.995,
SPGSCITR:IND,2020-02-12,2317.462,2317.462,2317.462,2317.462,
SPGSCITR:IND,2020-02-11,2276.182,2276.182,2276.182,2276.182,
SPGSCITR:IND,2020-02-10,2265.543,2265.543,2265.543,2265.543,
SPGSCITR:IND,2020-02-07,2292.666,2292.666,2292.666,2292.666,
SPGSCITR:IND,2020-02-06,2302.318,2302.318,2302.318,2302.318,
SPGSCITR:IND,2020-02-05,2296.776,2296.776,2296.776,2296.776,
SPGSCITR:IND,2020-02-04,2261.314,2261.314,2261.314,2261.314,
SPGSCITR:IND,2020-02-03,2267.282,2267.282,2267.282,2267.282,
SPGSCITR:IND,2020-01-31,2311.294,2311.294,2311.294,2311.294,
SPGSCITR:IND,2020-01-30,2330.318,2330.318,2330.318,2330.318,
SPGSCITR:IND,2020-01-29,2370.222,2370.222,2370.222,2370.222,
SPGSCITR:IND,2020-01-28,2379.877,2379.877,2379.877,2379.877,
SPGSCITR:IND,2020-01-27,2367.573,2367.573,2367.573,2367.573,
SPGSCITR:IND,2020-01-24,2414.384,2414.384,2414.384,2414.384,
SPGSCITR:IND,2020-01-23,2458.14,2458.14,2458.14,2458.14,
SPGSCITR:IND,2020-01-22,2487.055,2487.055,2487.055,2487.055,
SPGSCITR:IND,2020-01-21,2526.242,2526.242,2526.242,2526.242,
SPGSCITR:IND,2020-01-20,2536.32,2536.32,2536.32,2536.32,
SPGSCITR:IND,2020-01-17,2536.32,2536.32,2536.32,2536.32,
SPGSCITR:IND,2020-01-16,2529.86,2529.86,2529.86,2529.86,
SPGSCITR:IND,2020-01-15,2527.426,2527.426,2527.426,2527.426,
SPGSCITR:IND,2020-01-14,2540.777,2540.777,2540.777,2540.777,
SPGSCITR:IND,2020-01-13,2532.651,2532.651,2532.651,2532.651,
SPGSCITR:IND,2020-01-10,2555.867,2555.867,2555.867,2555.867,
SPGSCITR:IND,2020-01-09,2558.896,2558.896,2558.896,2558.896,
SPGSCITR:IND,2020-01-08,2561.66,2561.66,2561.66,2561.66,
SPGSCITR:IND,2020-01-07,2629.072,2629.072,2629.072,2629.072,
SPGSCITR:IND,2020-01-06,2642.496,2642.496,2642.496,2642.496,
SPGSCITR:IND,2020-01-03,2634.546,2634.546,2634.546,2634.546,
SPGSCITR:IND,2020-01-02,2595.65,2595.65,2595.65,2595.65,
SPGSCITR:IND,2020-01-01,2591.861,2591.861,2591.861,2591.861,
SPGSCITR:IND,2019-12-31,2591.861,2591.861,2591.861,2591.861,
SPGSCITR:IND,2019-12-30,2611.709,2611.709,2611.709,2611.709,
SPGSCITR:IND,2019-12-27,2615.493,2615.493,2615.493,2615.493,
SPGSCITR:IND,2019-12-26,2611.974,2611.974,2611.974,2611.974,
SPGSCITR:IND,2019-12-25,2589.704,2589.704,2589.704,2589.704,
SPGSCITR:IND,2019-12-24,2589.704,2589.704,2589.704,2589.704,
SPGSCITR:IND,2019-12-23,2572.068,2572.068,2572.068,2572.068,
SPGSCITR:IND,2019-12-20,2573.27,2573.27,2573.27,2573.27,
SPGSCITR:IND,2019-12-19,2583.055,2583.055,2583.055,2583.055,
