Date, Close/Last, Volume, Open, High, Low
11/11/2020, 366.85, 882, 371.15, 371.15, 367.3
11/10/2020, 366.95, 2521, 363.2, 366.5, 362.85
11/09/2020, 360.3, 1332, 363, 363, 358.4
11/06/2020, 349.25, 161, 351.5, 351.5, 350.3
11/05/2020, 355.05, 4, 357.9, 354.35, 354.35
11/04/2020, 354.95, 4, 349, 354.8, 354.8
11/03/2020, 349.1, 11, 351, 351, 350.75
11/02/2020, 345.85, 190, 340.1, 346.8, 340.1
10/30/2020, 339.7, 45, 339.15, 339.8, 339.15
10/29/2020, 341.1, 16, 338, 341.85, 338
10/28/2020, 346.45, 69, 348.75, 348.75, 345.95
10/27/2020, 356.85, 15, 355.7, 357.15, 355.1
10/26/2020, 352.8, 25, 353, 353.55, 351.7
10/23/2020, 359.1, 4, 358.7, 358.7, 358.7
10/22/2020, 361.55, 13, 361.65, 361.75, 360.85
10/21/2020, 360.7, 1, 360.45, 360.45, 360.45
10/20/2020, 364.05, 6, 364.8, 364.8, 364.6
10/19/2020, 361.7, 18, 363.35, 363.35, 359.8
10/16/2020, 362.1, 22, 361.2, 362.5, 360.5
10/15/2020, 363.25, 29, 357.2, 364.2, 357.2
10/14/2020, 361.75, 34, 358.85, 362.15, 358.85
10/13/2020, 358.8, 868, 357.8, 358.8, 357.8
10/12/2020, 354, 700, 352.75, 354, 352.75
10/09/2020, 353.45, 1935, 360, 360, 358.55
10/08/2020, 356.7, 1926, 357.75, 359.1, 357.75
10/07/2020, 353.35, 173, 353, 353, 353
10/06/2020, 353.75, 6, 352.6, 354.85, 352.6
10/05/2020, 348.1, 252, 346.65, 349.2, 346.65
10/02/2020, 336.9, 38, 338.75, 340.45, 338.3
10/01/2020, 343.1, 263, 347, 347, 339.8
09/30/2020, 349.45, 17, 345.2, 349.75, 345.2
09/29/2020, 344.65, 2, 346.95, 346.95, 346.95
09/27/2020, 346.8, N/A, 346.8, 346.8, 346.8
09/25/2020, 350.9, 1, 346.8, 346.8, 346.8
09/24/2020, 348.1, N/A, 348.1, 348.1, 348.1
09/23/2020, 347.25, 4, 347.25, 347.25, 347.25
09/22/2020, 348.2, 2, 349.1, 349.3, 349.1
09/21/2020, 347.65, 23, 351.1, 351.1, 345.6
09/18/2020, 357.7, 4, 357.75, 357.75, 357.2
09/17/2020, 356.25, 11, 349.3, 356.15, 349.3
09/16/2020, 351.85, 13, 349.1, 351.95, 349.1
09/15/2020, 345.25, 59, 343.8, 345.55, 342
09/14/2020, 342.8, 1628, 342.8, 342.8, 342.8
09/11/2020, 336.75, 469, 336.75, 336.75, 336.75
09/10/2020, 336.65, 2994, 338.85, 338.85, 336.85
09/09/2020, 339.9, 150, 339.9, 339.9, 339.9
09/08/2020, 346.75, 921, 334.4, 336.05, 332.95
09/04/2020, 347.75, 3, 348, 348.2, 347.35
09/03/2020, 351, 46, 350.5, 350.75, 347.55
09/02/2020, 353.75, 6, 354.3, 354.4, 354.3
09/01/2020, 360.1, 168, 362, 362.1, 360.5
08/31/2020, 359.35, 110, 362.35, 362.35, 358.75
08/28/2020, 360, 14, 360.35, 360.6, 360
08/27/2020, 359.4, 2, 358.45, 358.45, 358.45
08/26/2020, 360, 1, 360, 360, 360
08/25/2020, 359.95, N/A, 359.95, 359.95, 359.95
08/24/2020, 356.1, 17, 355.25, 356.1, 355.25
08/21/2020, 353.2, 3, 350.5, 353.6, 350.5
08/20/2020, 356.1, 39, 355.5, 356.15, 355.5
08/19/2020, 357, 5, 356.95, 357, 356.95
08/18/2020, 357.8, 12, 358.45, 358.45, 357.2
08/17/2020, 357.3, 31, 354.1, 357.55, 354.1
08/14/2020, 351.95, 35, 352.65, 352.9, 351.3
08/13/2020, 351.8, 1222, 351.8, 351.8, 351.8
08/12/2020, 349.35, 1102, 349.05, 349.35, 349
08/11/2020, 345.95, 1868, 349.65, 349.65, 343.9
08/10/2020, 347.8, 688, 349.35, 349.35, 347.15
08/07/2020, 345.3, 1119, 345.9, 345.9, 343.95
08/06/2020, 350.5, 34, 352.4, 352.4, 350.5
08/05/2020, 349.25, 6, 349.25, 349.25, 349.25
08/04/2020, 345.45, 3, 346.6, 346.6, 346.6
08/03/2020, 343.95, 181, 340.75, 345.7, 340.6
07/31/2020, 338.5, 44, 340, 340, 338.05
07/30/2020, 338.35, 12, 337.1, 337.1, 333.45
07/29/2020, 343.4, 2, 344.1, 344.1, 344.1
07/28/2020, 342.3, 2, 340.85, 340.85, 340.85
07/27/2020, 342.75, 19, 340.45, 343.65, 338.6
07/24/2020, 341.2, 21, 341.4, 341.7, 340.95
07/23/2020, 340.65, 49, 344.25, 344.25, 340.05
07/22/2020, 343.5, 15, 341.85, 344.25, 341.85
07/21/2020, 342.55, 4, 342.4, 342.4, 342.2
07/20/2020, 336.75, 51, 333.9, 336.95, 333.9
07/17/2020, 338.3, N/A, 338.3, 338.3, 338.3
07/16/2020, 338.4, 5, 338.05, 338.4, 338.05
07/15/2020, 339.5, 35, 339.3, 339.5, 339.3
07/14/2020, 334.5, 1067, 334.25, 335.8, 334.25
07/13/2020, 334.6, 937, 333.65, 333.65, 333.65
07/10/2020, 335.6, 1944, 334.4, 338.4, 334.35
07/09/2020, 333.9, 870, 333.15, 333.15, 333.15
07/08/2020, 334.6, 867, 335.2, 337.4, 335.2
07/07/2020, 335.35, 18, 334, 336.15, 334
07/06/2020, 333.55, 64, 333.65, 335.05, 333.5
07/02/2020, 330.8, 167, 332.1, 333, 330.8
07/01/2020, 327.75, 30, 329.5, 329.5, 327.45
06/30/2020, 324.7, 15, 328.15, 328.15, 324.55
06/29/2020, 324.5, 2, 324.5, 325.25, 324.5
06/26/2020, 318.15, 1, 318.8, 318.8, 318.8
06/25/2020, 320, 8, 320, 320, 320
06/24/2020, 319.7, 86, 317.95, 320.15, 317.95
06/23/2020, 330.6, 14, 332.2, 332.2, 329.55
06/22/2020, 329.75, 27, 328.85, 330.95, 328.85
06/19/2020, 327.9, 3, 330.7, 330.7, 330.45
06/18/2020, 324.4, 1, 324.4, 324.4, 324.4
06/16/2020, 322.35, 17, 324.8, 325, 322.05
06/15/2020, 316.85, 28, 314.7, 317.1, 314.7
06/12/2020, 314.8, 279, 314.65, 315.4, 313.1
06/11/2020, 313.9, 656, 317, 317, 317
06/10/2020, 324.55, 1175, 324.7, 324.7, 324.7
06/09/2020, 321.7, 1316, 318.2, 322, 318.05
06/08/2020, 318.7, 861, 320, 320.85, 319.8
06/05/2020, 320.85, 990, 323.3, 324.45, 322.5
06/04/2020, 314.3, 135, 311.6, 315.75, 311.6
06/03/2020, 312.8, 144, 311, 313.05, 311
06/02/2020, 311.75, 242, 310, 313.65, 309.8
06/01/2020, 306.45, 380, 305.1, 308.15, 304.05
05/29/2020, 303.45, 61, 296.8, 306, 296.8
05/28/2020, 298.35, 18, 296.4, 299.3, 296
05/27/2020, 297.3, 6, 297.3, 297.9, 297.3
05/26/2020, 301.75, 17, 302.5, 303.1, 301.75
05/22/2020, 295.9, 9, 294, 295.9, 294
05/21/2020, 298.5, 314, 302.05, 302.05, 298.5
05/20/2020, 299.7, 185, 300.15, 301.9, 298.05
05/19/2020, 294.8, 139, 294.9, 297.15, 294.5
05/18/2020, 293.75, 162, 289.95, 298, 289.95
05/15/2020, 281.9, 2, 281.9, 281.9, 281.9
05/14/2020, 277.3, 386, 272.3, 280.4, 272.3
05/13/2020, 269.6, 540, 276, 276, 268.4
05/12/2020, 275.4, 668, 277.5, 277.5, 275.15
05/11/2020, 273.05, 1159, 282, 282, 272.85
05/08/2020, 269.9, 1046, 271.5, 271.5, 271.5
