Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Imports,1950-01-31T00:00:00,592,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-02-28T00:00:00,606,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-03-31T00:00:00,577,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-04-30T00:00:00,606,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-05-31T00:00:00,636,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-06-30T00:00:00,684,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-07-31T00:00:00,787,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-08-31T00:00:00,821,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-09-30T00:00:00,955,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-10-31T00:00:00,912,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-11-30T00:00:00,876,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-12-31T00:00:00,891,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-01-31T00:00:00,939,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-02-28T00:00:00,927,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-03-31T00:00:00,997,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-04-30T00:00:00,1005,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-05-31T00:00:00,986,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-06-30T00:00:00,967,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-07-31T00:00:00,940,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-08-31T00:00:00,885,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-09-30T00:00:00,838,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-10-31T00:00:00,800,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-11-30T00:00:00,845,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-12-31T00:00:00,812,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-01-31T00:00:00,856,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-02-29T00:00:00,881,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-03-31T00:00:00,904,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-04-30T00:00:00,870,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-05-31T00:00:00,839,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-06-30T00:00:00,882,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-07-31T00:00:00,846,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-08-31T00:00:00,897,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-09-30T00:00:00,915,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-10-31T00:00:00,899,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-11-30T00:00:00,904,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1952-12-31T00:00:00,978,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-01-31T00:00:00,904,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-02-28T00:00:00,902,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-03-31T00:00:00,923,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-04-30T00:00:00,998,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-05-31T00:00:00,931,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-06-30T00:00:00,913,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-07-31T00:00:00,899,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-08-31T00:00:00,910,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-09-30T00:00:00,968,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-10-31T00:00:00,818,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-11-30T00:00:00,873,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1953-12-31T00:00:00,837,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-01-31T00:00:00,855,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-02-28T00:00:00,852,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-03-31T00:00:00,762,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-04-30T00:00:00,945,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-05-31T00:00:00,848,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-06-30T00:00:00,935,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-07-31T00:00:00,847,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-08-31T00:00:00,851,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-09-30T00:00:00,818,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-10-31T00:00:00,805,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-11-30T00:00:00,821,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1954-12-31T00:00:00,874,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-01-31T00:00:00,886,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-02-28T00:00:00,897,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-03-31T00:00:00,907,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-04-30T00:00:00,902,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-05-31T00:00:00,939,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-06-30T00:00:00,928,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-07-31T00:00:00,953,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-08-31T00:00:00,952,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-09-30T00:00:00,992,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-10-31T00:00:00,1045,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-11-30T00:00:00,1045,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1955-12-31T00:00:00,971,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-01-31T00:00:00,1045,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-02-29T00:00:00,1063,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-03-31T00:00:00,1034,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-04-30T00:00:00,1019,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-05-31T00:00:00,1040,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-06-30T00:00:00,1069,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-07-31T00:00:00,1063,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-08-31T00:00:00,1065,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-09-30T00:00:00,1132,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-10-31T00:00:00,1055,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-11-30T00:00:00,969,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1956-12-31T00:00:00,1050,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-01-31T00:00:00,1057,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-02-28T00:00:00,1056,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-03-31T00:00:00,1118,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-04-30T00:00:00,1100,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-05-31T00:00:00,1060,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-06-30T00:00:00,1058,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-07-31T00:00:00,1111,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-08-31T00:00:00,1099,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-09-30T00:00:00,1074,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-10-31T00:00:00,1086,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-11-30T00:00:00,1065,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-12-31T00:00:00,1080,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-01-31T00:00:00,1053,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-02-28T00:00:00,1022,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-03-31T00:00:00,1051,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-04-30T00:00:00,1051,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-05-31T00:00:00,1066,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-06-30T00:00:00,1037,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-07-31T00:00:00,1023,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-08-31T00:00:00,1046,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-09-30T00:00:00,1083,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-10-31T00:00:00,1091,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-11-30T00:00:00,1156,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-12-31T00:00:00,1139,Monthly,TBIMTOT,2016-03-04T14:46:00
