symbol,date,value
bogmbase,1959-01-01T00:00:00,50463
bogmbase,1959-02-01T00:00:00,49805
bogmbase,1959-03-01T00:00:00,49733
bogmbase,1959-04-01T00:00:00,50058
bogmbase,1959-05-01T00:00:00,50112
bogmbase,1959-06-01T00:00:00,50337
bogmbase,1959-07-01T00:00:00,50802
bogmbase,1959-08-01T00:00:00,50661
bogmbase,1959-09-01T00:00:00,50722
bogmbase,1959-10-01T00:00:00,50660
bogmbase,1959-11-01T00:00:00,50877
bogmbase,1959-12-01T00:00:00,51504
bogmbase,1960-01-01T00:00:00,50661
bogmbase,1960-02-01T00:00:00,49609
bogmbase,1960-03-01T00:00:00,49482
bogmbase,1960-04-01T00:00:00,49656
bogmbase,1960-05-01T00:00:00,49734
bogmbase,1960-06-01T00:00:00,50015
bogmbase,1960-07-01T00:00:00,50455
bogmbase,1960-08-01T00:00:00,50279
bogmbase,1960-09-01T00:00:00,49920
bogmbase,1960-10-01T00:00:00,50130
bogmbase,1960-11-01T00:00:00,50251
bogmbase,1960-12-01T00:00:00,49763
bogmbase,1961-01-01T00:00:00,49103
bogmbase,1961-02-01T00:00:00,48441
bogmbase,1961-03-01T00:00:00,48362
bogmbase,1961-04-01T00:00:00,48455
bogmbase,1961-05-01T00:00:00,48494
bogmbase,1961-06-01T00:00:00,48875
bogmbase,1961-07-01T00:00:00,49216
bogmbase,1961-08-01T00:00:00,49334
bogmbase,1961-09-01T00:00:00,49599
bogmbase,1961-10-01T00:00:00,50032
bogmbase,1961-11-01T00:00:00,50484
bogmbase,1961-12-01T00:00:00,51281
bogmbase,1962-01-01T00:00:00,50603
bogmbase,1962-02-01T00:00:00,49841
bogmbase,1962-03-01T00:00:00,50024
bogmbase,1962-04-01T00:00:00,50365
bogmbase,1962-05-01T00:00:00,50543
bogmbase,1962-06-01T00:00:00,50908
bogmbase,1962-07-01T00:00:00,51314
bogmbase,1962-08-01T00:00:00,51175
bogmbase,1962-09-01T00:00:00,51322
bogmbase,1962-10-01T00:00:00,51552
bogmbase,1962-11-01T00:00:00,51344
bogmbase,1962-12-01T00:00:00,52257
bogmbase,1963-01-01T00:00:00,51635
bogmbase,1963-02-01T00:00:00,51013
bogmbase,1963-03-01T00:00:00,51206
bogmbase,1963-04-01T00:00:00,51489
bogmbase,1963-05-01T00:00:00,51702
bogmbase,1963-06-01T00:00:00,52195
bogmbase,1963-07-01T00:00:00,52768
bogmbase,1963-08-01T00:00:00,52600
bogmbase,1963-09-01T00:00:00,52910
bogmbase,1963-10-01T00:00:00,53117
bogmbase,1963-11-01T00:00:00,53775
bogmbase,1963-12-01T00:00:00,54913
bogmbase,1964-01-01T00:00:00,54238
bogmbase,1964-02-01T00:00:00,53472
bogmbase,1964-03-01T00:00:00,53830
bogmbase,1964-04-01T00:00:00,54052
bogmbase,1964-05-01T00:00:00,54273
bogmbase,1964-06-01T00:00:00,54940
bogmbase,1964-07-01T00:00:00,55426
bogmbase,1964-08-01T00:00:00,55427
bogmbase,1964-09-01T00:00:00,55887
bogmbase,1964-10-01T00:00:00,56162
bogmbase,1964-11-01T00:00:00,56786
bogmbase,1964-12-01T00:00:00,57737
bogmbase,1965-01-01T00:00:00,57138
bogmbase,1965-02-01T00:00:00,56508
bogmbase,1965-03-01T00:00:00,56696
bogmbase,1965-04-01T00:00:00,57089
bogmbase,1965-05-01T00:00:00,57165
bogmbase,1965-06-01T00:00:00,57761
bogmbase,1965-07-01T00:00:00,58407
bogmbase,1965-08-01T00:00:00,58192
bogmbase,1965-09-01T00:00:00,58574
bogmbase,1965-10-01T00:00:00,59137
bogmbase,1965-11-01T00:00:00,59614
bogmbase,1965-12-01T00:00:00,61022
bogmbase,1966-01-01T00:00:00,60520
bogmbase,1966-02-01T00:00:00,59751
bogmbase,1966-03-01T00:00:00,59933
bogmbase,1966-04-01T00:00:00,60510
bogmbase,1966-05-01T00:00:00,60631
bogmbase,1966-06-01T00:00:00,61102
bogmbase,1966-07-01T00:00:00,62064
bogmbase,1966-08-01T00:00:00,61734
bogmbase,1966-09-01T00:00:00,62359
bogmbase,1966-10-01T00:00:00,62603
bogmbase,1966-11-01T00:00:00,62993
bogmbase,1966-12-01T00:00:00,64185
bogmbase,1967-01-01T00:00:00,63850
bogmbase,1967-02-01T00:00:00,63282
bogmbase,1967-03-01T00:00:00,63166
bogmbase,1967-04-01T00:00:00,63274
bogmbase,1967-05-01T00:00:00,63382
bogmbase,1967-06-01T00:00:00,64005
bogmbase,1967-07-01T00:00:00,64821
bogmbase,1967-08-01T00:00:00,64699
bogmbase,1967-09-01T00:00:00,65225
bogmbase,1967-10-01T00:00:00,65894
bogmbase,1967-11-01T00:00:00,66453
bogmbase,1967-12-01T00:00:00,67818
bogmbase,1968-01-01T00:00:00,67698
bogmbase,1968-02-01T00:00:00,67213
bogmbase,1968-03-01T00:00:00,67521
bogmbase,1968-04-01T00:00:00,67953
bogmbase,1968-05-01T00:00:00,68077
bogmbase,1968-06-01T00:00:00,68874
bogmbase,1968-07-01T00:00:00,69700
bogmbase,1968-08-01T00:00:00,69887
bogmbase,1968-09-01T00:00:00,70048
bogmbase,1968-10-01T00:00:00,70830
bogmbase,1968-11-01T00:00:00,71727
bogmbase,1968-12-01T00:00:00,73139
bogmbase,1969-01-01T00:00:00,72865
bogmbase,1969-02-01T00:00:00,71978
bogmbase,1969-03-01T00:00:00,71768
