"MacroTrends Data Download"
"Silver Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1915-01-01,13.14,0.510
1915-02-01,13.27,0.510
1915-03-01,13.41,0.510
1915-04-01,13.27,0.510
1915-05-01,13.14,0.510
1915-06-01,13.14,0.510
1915-07-01,13.14,0.510
1915-08-01,13.14,0.510
1915-09-01,13.14,0.510
1915-10-01,13.01,0.510
1915-11-01,12.89,0.510
1915-12-01,12.89,0.510
1916-01-01,16.77,0.670
1916-02-01,16.77,0.670
1916-03-01,16.61,0.670
1916-04-01,16.45,0.670
1916-05-01,16.30,0.670
1916-06-01,16.15,0.670
1916-07-01,16.15,0.670
1916-08-01,16.00,0.670
1916-09-01,15.71,0.670
1916-10-01,15.43,0.670
1916-11-01,15.16,0.670
1916-12-01,15.03,0.670
1917-01-01,18.69,0.840
1917-02-01,18.22,0.840
1917-03-01,18.22,0.840
1917-04-01,17.35,0.840
1917-05-01,17.08,0.840
1917-06-01,16.82,0.840
1917-07-01,17.08,0.840
1917-08-01,16.82,0.840
1917-09-01,16.44,0.840
1917-10-01,16.20,0.840
1917-11-01,16.20,0.840
1917-12-01,15.96,0.840
1918-01-01,18.22,0.980
1918-02-01,18.09,0.980
1918-03-01,18.22,0.980
1918-04-01,17.96,0.980
1918-05-01,17.59,0.980
1918-06-01,17.35,0.980
1918-07-01,16.89,0.980
1918-08-01,16.56,0.980
1918-09-01,16.25,0.980
1918-10-01,15.94,0.980
1918-11-01,15.65,0.980
1918-12-01,15.46,0.980
1919-01-01,17.83,1.130
1919-02-01,18.16,1.130
1919-03-01,17.93,1.130
1919-04-01,17.61,1.130
1919-05-01,17.40,1.130
1919-06-01,17.40,1.130
1919-07-01,16.90,1.130
1919-08-01,16.62,1.130
1919-09-01,16.52,1.130
1919-10-01,16.25,1.130
1919-11-01,15.90,1.130
1919-12-01,15.56,1.130
1920-01-01,13.89,1.030
1920-02-01,13.75,1.030
1920-03-01,13.61,1.030
1920-04-01,13.21,1.030
1920-05-01,13.01,1.030
1920-06-01,12.83,1.030
1920-07-01,12.89,1.030
1920-08-01,13.21,1.030
1920-09-01,13.40,1.030
1920-10-01,13.47,1.030
1920-11-01,13.54,1.030
1920-12-01,13.82,1.030
1921-01-01,8.63,0.630
1921-02-01,8.91,0.630
1921-03-01,8.96,0.630
1921-04-01,9.06,0.630
1921-05-01,9.26,0.630
1921-06-01,9.32,0.630
1921-07-01,9.26,0.630
1921-08-01,9.26,0.630
1921-09-01,9.37,0.630
1921-10-01,9.37,0.630
1921-11-01,9.42,0.630
1921-12-01,9.48,0.630
1922-01-01,10.47,0.680
1922-02-01,10.47,0.680
1922-03-01,10.60,0.680
1922-04-01,10.60,0.680
1922-05-01,10.60,0.680
1922-06-01,10.60,0.680
1922-07-01,10.54,0.680
1922-08-01,10.66,0.680
1922-09-01,10.66,0.680
1922-10-01,10.60,0.680
1922-11-01,10.54,0.680
1922-12-01,10.47,0.680
1923-01-01,10.07,0.650
1923-02-01,10.07,0.650
1923-03-01,10.07,0.650
1923-04-01,10.01,0.650
1923-05-01,10.01,0.650
1923-06-01,9.95,0.650
1923-07-01,9.84,0.650
1923-08-01,9.89,0.650
1923-09-01,9.84,0.650
1923-10-01,9.78,0.650
1923-11-01,9.78,0.650
1923-12-01,9.78,0.650
1924-01-01,10.08,0.670
1924-02-01,10.14,0.670
1924-03-01,10.20,0.670
1924-04-01,10.26,0.670
1924-05-01,10.26,0.670
1924-06-01,10.26,0.670
1924-07-01,10.20,0.670
1924-08-01,10.26,0.670
1924-09-01,10.20,0.670
1924-10-01,10.14,0.670
1924-11-01,10.14,0.670
1924-12-01,10.08,0.670
1925-01-01,10.38,0.690
1925-02-01,10.44,0.690
1925-03-01,10.38,0.690
1925-04-01,10.44,0.690
1925-05-01,10.38,0.690
1925-06-01,10.26,0.690
1925-07-01,10.15,0.690
1925-08-01,10.15,0.690
1925-09-01,10.15,0.690
1925-10-01,10.15,0.690
1925-11-01,9.98,0.690
1925-12-01,10.03,0.690
1926-01-01,9.02,0.620
1926-02-01,9.02,0.620
1926-03-01,9.07,0.620
1926-04-01,9.02,0.620
1926-05-01,9.07,0.620
1926-06-01,9.12,0.620
1926-07-01,9.22,0.620
1926-08-01,9.27,0.620
1926-09-01,9.22,0.620
1926-10-01,9.17,0.620
1926-11-01,9.12,0.620
1926-12-01,9.12,0.620
1927-01-01,8.48,0.570
1927-02-01,8.53,0.570
1927-03-01,8.58,0.570
1927-04-01,8.58,0.570
1927-05-01,8.53,0.570
1927-06-01,8.43,0.570
1927-07-01,8.58,0.570
1927-08-01,8.63,0.570
1927-09-01,8.58,0.570
1927-10-01,8.53,0.570
1927-11-01,8.58,0.570
1927-12-01,8.58,0.570
1928-01-01,8.73,0.580
1928-02-01,8.83,0.580
1928-03-01,8.83,0.580
1928-04-01,8.83,0.580
1928-05-01,8.78,0.580
1928-06-01,8.83,0.580
1928-07-01,8.83,0.580
1928-08-01,8.83,0.580
1928-09-01,8.73,0.580
1928-10-01,8.78,0.580
1928-11-01,8.78,0.580
1928-12-01,8.83,0.580
1929-01-01,8.07,0.530
1929-02-01,8.07,0.530
1929-03-01,8.11,0.530
1929-04-01,8.16,0.530
1929-05-01,8.11,0.530
1929-06-01,8.07,0.530
1929-07-01,7.97,0.530
1929-08-01,7.97,0.530
1929-09-01,7.97,0.530
1929-10-01,7.97,0.530
1929-11-01,7.97,0.530
1929-12-01,8.02,0.530
1930-01-01,5.78,0.380
1930-02-01,5.82,0.380
1930-03-01,5.85,0.380
1930-04-01,5.82,0.380
1930-05-01,5.85,0.380
1930-06-01,5.89,0.380
1930-07-01,5.96,0.380
1930-08-01,5.99,0.380
1930-09-01,5.96,0.380
1930-10-01,5.99,0.380
1930-11-01,6.03,0.380
1930-12-01,6.14,0.380
1931-01-01,4.75,0.290
1931-02-01,4.81,0.290
1931-03-01,4.84,0.290
1931-04-01,4.87,0.290
1931-05-01,4.93,0.290
1931-06-01,5.00,0.290
1931-07-01,5.00,0.290
1931-08-01,5.00,0.290
1931-09-01,5.03,0.290
1931-10-01,5.07,0.290
1931-11-01,5.13,0.290
1931-12-01,5.17,0.290
1932-01-01,5.10,0.280
1932-02-01,5.17,0.280
1932-03-01,5.21,0.280
1932-04-01,5.24,0.280
1932-05-01,5.32,0.280
1932-06-01,5.36,0.280
1932-07-01,5.36,0.280
1932-08-01,5.40,0.280
1932-09-01,5.44,0.280
1932-10-01,5.48,0.280
1932-11-01,5.52,0.280
1932-12-01,5.56,0.280
1933-01-01,7.06,0.350
1933-02-01,7.17,0.350
1933-03-01,7.23,0.350
1933-04-01,7.23,0.350
1933-05-01,7.23,0.350
1933-06-01,7.17,0.350
1933-07-01,6.95,0.350
1933-08-01,6.90,0.350
1933-09-01,6.90,0.350
1933-10-01,6.90,0.350
1933-11-01,6.90,0.350
1933-12-01,6.90,0.350
1934-01-01,9.46,0.480
1934-02-01,9.39,0.480
1934-03-01,9.39,0.480
1934-04-01,9.39,0.480
1934-05-01,9.39,0.480
1934-06-01,9.32,0.480
1934-07-01,9.32,0.480
1934-08-01,9.32,0.480
1934-09-01,9.19,0.480
1934-10-01,9.25,0.480
1934-11-01,9.25,0.480
1934-12-01,9.32,0.480
1935-01-01,12.25,0.640
1935-02-01,12.16,0.640
1935-03-01,12.16,0.640
1935-04-01,12.07,0.640
1935-05-01,12.07,0.640
1935-06-01,12.16,0.640
1935-07-01,12.16,0.640
1935-08-01,12.16,0.640
1935-09-01,12.16,0.640
1935-10-01,12.16,0.640
1935-11-01,12.07,0.640
1935-12-01,12.07,0.640
1936-01-01,8.49,0.450
1936-02-01,8.49,0.450
1936-03-01,8.55,0.450
1936-04-01,8.55,0.450
1936-05-01,8.55,0.450
1936-06-01,8.49,0.450
1936-07-01,8.43,0.450
1936-08-01,8.37,0.450
1936-09-01,8.37,0.450
1936-10-01,8.37,0.450
1936-11-01,8.37,0.450
1936-12-01,8.37,0.450
1937-01-01,8.31,0.450
1937-02-01,8.31,0.450
1937-03-01,8.25,0.450
1937-04-01,8.19,0.450
1937-05-01,8.13,0.450
1937-06-01,8.13,0.450
1937-07-01,8.08,0.450
1937-08-01,8.08,0.450
1937-09-01,8.02,0.450
1937-10-01,8.02,0.450
1937-11-01,8.08,0.450
1937-12-01,8.13,0.450
1938-01-01,7.88,0.430
1938-02-01,7.94,0.430
